processid	sampleid	bin_uri	genus_name	lat	lon
EZHBA534-07	CSG08741	BOLD:AAA8958	Argynnis	54.98	82.89
EZHBA766-07	CSG16523	BOLD:AAA9312	Brenthis	54.98	82.89
EZHBA932-07	ENT992-22301	BOLD:AAA4400	Speyeria	59.617	-137.717
EZSPN893-09	RVcoll.08-L804	BOLD:AAA3397	Boloria	43.019	-4.344
GBAAW76312-24	OR570636	BOLD:AGE6449	Actinote	-4.709	-79.446
GBGL43225-21	MW020494	BOLD:AAA2067	Boloria	67.51	-148.49
GBLN1493-08	EU069023	BOLD:AAD3838	Aeria	-0.5	-76.37
GBLN1685-08	EU068813	BOLD:AAB6973	Hypothyris	-0.52	-76.4
GBMIN22221-13	JF450963	BOLD:ACF4540	Mechanitis	-0.5115	-76.3512
HBNK740-07	761NK-DT61	BOLD:ACE3748	Boloria	51.202	-122.539
HBNKB055-07	764NK-2895	BOLD:ABZ4892	Speyeria	49.176	-115.485
KUGAA593-22	BIOUG89992-E09	BOLD:AAA9406	Boloria	68.545	-89.767
LEPPA246-12	MACN-Bar-Lep-ct 02591	BOLD:AAA8568	Dircenna	-25.1205	-58.1724
LPSK422-08	08BBLEP-01990	BOLD:ABZ0595	Speyeria	49.153	-107.517
LYPAP701-09	MAL-02701	BOLD:AAB6623	Eueides	18.608	-89.3
LYPAP939-09	MAL-02939	BOLD:AAB6972	Mechanitis	17.972	-89.358
MHAAC104-06	05-SRNP-6625	BOLD:AAB6623	Eueides	10.93	-85.372
MHAAC190-06	05-SRNP-49362	BOLD:AAA8547	Greta	10.889	-85.476
MHMYC1221-09	09-SRNP-30990	BOLD:AAB0608	Pteronymia	11.004	-85.416
PLECF1693-20	BIOUG58163-B05	BOLD:AAC2573	Heliconius	10.763	-85.334
RDHP505-06	603NK-2213.4	BOLD:AAA4400	Speyeria	49.0289	-117.54
WMB3501-14	RVcoll.10-B745	BOLD:AAB2344	Fabriciana	44.032	6.172
