processid	sampleid	bin_uri	genus_name	lat	lon
GBICH052-12	BC ZSM HYM 13732	BOLD:AFR8277	Cratichneumon	51.586	5.079
GBICH341-13	BC ZSM HYM 15636	BOLD:ACE1119	Heterischnus	47.9123	9.0165
GBMIN35381-13	HM020549	BOLD:ACD7937	Trachyarus	62.1863	25.877
GMGMC175-14	BIOUG16356-D04	BOLD:ABX6112	Coelichneumon	50.552	7.17
GMGMK349-14	BIOUG17175-G08	BOLD:ACC3068	Exephanes	50.552	7.17
GMSCE239-20	BIOUG51795-B12	BOLD:AAH2004	Phaeogenes	33.997	-119.716
HPPPO195-13	BIOUG08433-D02	BOLD:ACF9659	NA	44.623	-63.569
JSHYN293-11	BIOUG01023-E09	BOLD:AAD5318	Ichneumon	44.621	-75.773
JSHYN875-11	BIOUG01093-A07	BOLD:AAG7663	NA	44.621	-75.773
NGNAC1140-13	BIOUG07322-C02	BOLD:AAM9124	NA	50.643	-120.517
NOICH334-19	HYM081	BOLD:AAZ7718	Diadromus	59.5249	10.6708
NZHYM1427-12	NZAC04044588	BOLD:ABX9928	Levansa	-45.84	170.521
ONTA154-23	BIOUG91338-E11.ONT3	BOLD:AAH1883	NA	54.774	-127.108
OPPAM1927-17	BIOUG34203-C01	BOLD:ACE8616	NA	45.256100000000004	-77.1922
OPPDE024-17	BIOUG32838-E06	BOLD:AAU8850	NA	44.6286	-78.8614
OPPEO6413-17	BIOUG35586-G08	BOLD:ACE4814	Ichneumon	44.7812	-76.2336
OPPFM2005-17	BIOUG34714-G12	BOLD:AAU8329	NA	42.2628	-83.0725
OPPFS137-17	BIOUG35111-F09	BOLD:ACE4814	Ichneumon	42.2628	-83.0725
PHAUG1817-11	BIOUG01499-B01	BOLD:ACE4814	Ichneumon	43.537	-80.134
PLABF048-19	BIOUG48944-A06	BOLD:ACR7671	ichneuMalaise01	10.763	-85.334
PLAEW088-21	BIOUG58125-C08	BOLD:ADA8392	ichneuMalaise01	10.763	-85.334
PLLBG4166-20	BIOUG51756-A06	BOLD:ADB0819	ichneuMalaise01	10.763	-85.334
PLPAF018-20	BIOUG52698-A07	BOLD:ADB7911	ichneuMalaise01	10.761	-85.335
PLUAJ1067-20	BIOUG55237-H01	BOLD:ADB0819	ichneuMalaise01	10.763	-85.334
SAPRA20282-23	CBG-A00367-D02	BOLD:ABX3579	NA	-25.735	28.282
SSKJB2732-14	BIOUG16543-E04	BOLD:AAG7633	NA	44.443	-65.265
SSKUA1281-15	BIOUG26717-E10	BOLD:AAU9790	Platylabus	60.714	-137.434
SSWLB5735-13	BIOUG05221-H10	BOLD:AAU8220	NA	49.081	-113.879
THAMA12027-22	BIOUG91375-E09	BOLD:ACD4551	NA	14.471	101.373
THAMF10216-23	BIOUG98694-C10	BOLD:ADT8185	NA	14.51	101.933
AMCAF365-19	BIOUG45266-F06	BOLD:ADU7637	Coelichneumon	60.788	-135.187
ASHYF1242-11	DHJPAR0041336	BOLD:AAA9799	Pedinopelte	10.8647	-85.4153
CNLMO1645-14	BIOUG13836-D06	BOLD:AAG7633	NA	46.6507	-72.9698
CNRME5012-12	BIOUG03805-D02	BOLD:AAG7663	NA	50.676	-99.898
CNTII032-15	BIOUG21839-E05	BOLD:ADJ2124	NA	44.453	-75.865
CNWLH058-12	BIOUG04326-D05	BOLD:AAZ7721	Diadromus	49.083	-113.876
CRALA43911-21	BIOUG72345-D05	BOLD:AEM8697	ichneuMalaise01	9.015	-83.004
CRALC13409-21	BIOUG72902-E08	BOLD:ACT5548	Carinodes	9.015	-83.004
CRALC34171-21	BIOUG72905-F12	BOLD:AEO5999	ichneuMalaise01	9.015	-83.004
CRBOG8037-23	CBG-A10803-G07	BOLD:AAL1427	NA	10.7589	-85.0092
CRCBA37046-22	BIOUG85280-H07	BOLD:AEZ2967	ichneuMalaise01	10.327	-84.08
CRHTA16831-22	BIOUG80142-E06	BOLD:ADU0438	ichneuMalaise01	9.648	-83.071
CRPEA48132-21	BIOUG73007-E05	BOLD:ACK6099	ichneuMalaise01	9.973	-84.094
CRPSA18057-22	BIOUG88189-D01	BOLD:ADB9082	ichneuMalaise01	9.974	-84.093
GMCNA39703-21	BIOUG63955-G06	BOLD:AEF3093	Macrojoppa	10.844	-85.614
GMCVE009-16	BIOUG27888-C09	BOLD:ACE4814	Ichneumon	48.5197	-123.43
GMGKB051-20	BIOUG62308-E03	BOLD:AEK2208	Tycherus	41.762	41.978
GMOQF270-15	BIOUG25284-B01	BOLD:AAE8982	Stenichneumon	60.5954	-134.953
HPPPH310-13	BIOUG07464-A08	BOLD:AAU8756	Stenodontus	44.623	-63.569
INFCO1773-17	INDOBIOSYS-CCDB25108-F03	BOLD:ADJ8173	NA	-6.72896	106.491
JIEAB014-16	BIOUG30496-D12	BOLD:ADB0819	ichneuMalaise01	10.76	-85.334
ONTBP10953-23	BIOUG91338-E01.ONT1	BOLD:ACV1216	NA	54.774	-127.108
OPPQO004-17	BIOUG34606-F01	BOLD:AAU8706	NA	43.1129	-79.2738
PLAAV143-18	BIOUG44732-B03	BOLD:ADB7911	ichneuMalaise01	10.763	-85.334
PLABF123-19	BIOUG48944-G09	BOLD:ADB9082	ichneuMalaise01	10.763	-85.334
PLABY1099-19	BIOUG50475-A11	BOLD:ADB0819	ichneuMalaise01	10.763	-85.334
PLECG2853-20	BIOUG55402-A07	BOLD:AAL1427	Diacantharius	10.763	-85.334
PLFAY025-19	BIOUG48911-F04	BOLD:ADB5402	ichneuMalaise01	10.763	-85.334
